구,역명,승강기 개수,에스컬레이터 개수,휠체어리프트 개수,전동휠체어 급속충전기 개수,경도,위도,
마포구,마포구청,4,12,0,0,126.903343,37.563515,
마포구,망원,2,2,0,1,126.910052,37.556094,
마포구,상수,1,10,2,0,126.922852,37.547716,
마포구,광흥창,3,9,1,1,126.931993,37.547456,
마포구,대흥,2,6,1,0,126.942069,37.547771,
마포구,공덕,5,6,1,1,126.951592,37.544018,
용산구,효창공원앞,2,6,1,0,126.961351,37.539261,
용산구,삼각지,5,4,2,0,126.97311,37.534777,
용산구,녹사평,3,13,0,0,126.986695,37.534675,
용산구,이태원,2,4,0,0,126.994302,37.534488,
용산구,한강진,3,4,0,1,127.001725,37.539631,
중구,버티고개,5,4,0,0,127.007055,37.548013,
중구,청구,5,10,0,0,127.013828,37.560245,
종로구,동묘앞,2,12,2,0,127.016429,37.572627,
종로구,창신,3,3,0,0,127.015241,37.579661,
성북구,보문,1,2,0,1,127.019381,37.585286,
성북구,안암,3,6,0,0,127.029005,37.586272,
성북구,고려대,4,12,0,1,127.036296,37.590508,
성북구,월곡,3,12,1,1,127.041518,37.601948,
성북구,상월곡,1,6,2,0,127.048491,37.606377,
성북구,돌곶이,3,4,0,1,127.056431,37.610537,
성북구,석계,4,14,2,0,127.065774,37.615337,
