"기관 명","송신 서버 번호","데이터 번호","모델명","주행상태","시동ON 시각","시동OFF 시각","운행시간","등록일시"
"서울시설공단","20","1","B03","0","002022-02-15_11:16:","552022-02-15_15:00:","020002","2022-02-15 15:01:00.0"
"서울시설공단","20","1","B03","9","102022-02-15_11:39:","562022-02-15_14:38:","050001","2022-02-15 14:56:00.0"
"서울시설공단","20","1","B03","1","602022-02-15_12:03:","532022-02-15_14:39:","940001","2022-02-15 14:41:00.0"
"서울시설공단","20","1","B03","2","902022-02-15_14:10:","902022-02-15_14:37:","200000","2022-02-15 14:38:00.0"
"서울시설공단","20","1","B03","8","102022-02-15_09:38:","182022-02-15_14:35:","030002","2022-02-15 14:36:00.0"
"서울시설공단","20","1","B03","2","502022-02-15_14:03:","102022-02-15_14:30:","920000","2022-02-15 14:31:00.0"
"서울시설공단","20","1","B03","1","702022-02-15_11:59:","022022-02-15_14:20:","110001","2022-02-15 14:21:00.0"
"서울시설공단","20","1","B03","8","402022-02-15_13:14:","522022-02-15_14:18:","230000","2022-02-15 14:19:00.0"
"서울시설공단","20","1","B03","8","102022-02-15_06:32:","972022-02-15_13:56:","350004","2022-02-15 14:00:00.0"
"서울시설공단","20","1","B03","7","902022-02-15_08:59:","232022-02-15_13:58:","440002","2022-02-15 13:59:00.0"
"서울시설공단","20","1","B03","1","802022-02-15_09:20:","352022-02-15_13:56:","800002","2022-02-15 13:58:00.0"
"서울시설공단","20","1","B03","6","002022-02-15_13:47:","902022-02-15_13:53:","000000","2022-02-15 13:54:00.0"
"서울시설공단","20","1","B03","6","702022-02-15_10:40:","132022-02-15_13:51:","250001","2022-02-15 13:52:00.0"
"서울시설공단","20","1","B03","7","802022-02-15_11:58:","082022-02-15_13:49:","930001","2022-02-15 13:50:00.0"
"서울시설공단","20","1","B03","1","702022-02-15_06:50:","032022-02-15_13:47:","900004","2022-02-15 13:48:00.0"
"서울시설공단","20","1","B03","3","902022-02-15_12:27:","802022-02-15_13:45:","310000","2022-02-15 13:47:00.0"
"서울시설공단","20","1","B03","5","302022-02-15_07:27:","072022-02-15_13:20:","940003","2022-02-15 13:22:00.0"
"서울시설공단","20","1","B03","4","602022-02-15_07:54:","952022-02-15_13:11:","950003","2022-02-15 13:13:00.0"
"서울시설공단","20","1","B03","9","902022-02-14_12:59:","332022-02-14_15:58:","990001","2022-02-15 13:10:00.0"
"서울시설공단","20","1","B03","9","402022-02-15_06:56:","452022-02-15_12:52:","560003","2022-02-15 12:54:00.0"
"서울시설공단","20","1","B03","0","802022-02-15_06:52:","872022-02-15_12:33:","660003","2022-02-15 12:34:00.0"
"서울시설공단","20","1","B03","1","702022-02-15_12:07:","762022-02-15_12:19:","100000","2022-02-15 12:21:00.0"
"서울시설공단","20","1","B03","0","302022-02-15_12:07:","282022-02-15_12:19:","100000","2022-02-15 12:20:00.0"
"서울시설공단","20","1","B03","1","602022-02-15_11:10:","622022-02-15_12:07:","410000","2022-02-15 12:09:00.0"
"서울시설공단","20","1","B03","3","202022-02-15_11:18:","522022-02-15_11:31:","110000","2022-02-15 12:07:00.0"
"서울시설공단","20","1","B03","4","502022-02-14_17:05:","982022-02-14_20:21:","520001","2022-02-15 12:07:00.0"
